CLAIM_FROM_MONTH,total_paid,total_claims,total_beneficiaries,active_providers
2018-01-01,9232048522.36998,187217689.0,113342897.0,230343
2018-02-01,8420467832.359888,171352502.0,104351414.0,223890
2018-03-01,9129935988.66,183682093.0,110825567.0,229785
2018-04-01,8981173692.470013,179619696.0,107694834.0,227737
2018-05-01,9384689427.049917,185076176.0,110182879.0,228477
2018-06-01,8607149265.450037,164850507.0,100094343.0,216671
2018-07-01,8854594623.630014,169724543.0,102373426.0,215506
2018-08-01,9492334835.449968,186434915.0,113633755.0,225891
2018-09-01,8661621043.369951,168487953.0,100688468.0,214527
2018-10-01,9921379666.379887,198197925.0,118334299.0,229358
2018-11-01,9072923512.380003,173605775.0,102742360.0,216770
2018-12-01,8907431063.81996,166190908.0,96922801.0,211803
2019-01-01,10529905105.899883,202463697.0,119769828.0,229768
2019-02-01,9680573063.78995,187149977.0,111443392.0,223699
2019-03-01,10638499933.200031,202656457.0,120287086.0,230714
2019-04-01,10662800690.749998,204034522.0,120056910.0,233371
2019-05-01,10788430160.420052,203400802.0,118335223.0,231476
2019-06-01,9722889154.48996,179172702.0,106684985.0,219912
2019-07-01,10364775003.789984,193812066.0,114502037.0,225116
2019-08-01,10628704037.169947,202465238.0,120864691.0,231294
2019-09-01,10530148010.349957,201493119.0,118468405.0,231361
2019-10-01,11890862793.22986,229836010.0,135188555.0,243432
2019-11-01,10694811682.099943,197813102.0,116101805.0,228279
2019-12-01,10773796446.439919,195213165.0,114234300.0,225437
2020-01-01,12417328718.269896,231493965.0,137689829.0,242759
2020-02-01,11387443071.260033,210768595.0,125598414.0,236134
2020-03-01,10327180044.759844,175476623.0,99482797.0,215936
2020-04-01,8541553016.110035,126498275.0,61588397.0,162138
2020-05-01,9276309404.62995,146927456.0,78755754.0,185451
2020-06-01,10386347586.829805,180029356.0,106053452.0,211834
2020-07-01,11043497587.589958,193266077.0,114313859.0,217645
2020-08-01,10945591115.499958,193099010.0,115506523.0,220412
2020-09-01,11345841778.77987,204909864.0,123211041.0,230141
2020-10-01,12256768912.529913,220267867.0,132414607.0,241242
2020-11-01,11824939391.279821,207113269.0,122921505.0,237363
2020-12-01,12337430898.159822,214312315.0,124912560.0,238611
2021-01-01,12594444977.409916,222768005.0,132228710.0,244592
2021-02-01,11715579066.729797,206952736.0,124043876.0,241312
2021-03-01,14136311330.650074,258070549.0,156505580.0,263709
2021-04-01,13565862878.509926,245380331.0,149825892.0,259223
2021-05-01,13208518113.69002,232574191.0,140839982.0,253789
2021-06-01,13415399746.469929,237429997.0,146382446.0,254208
2021-07-01,13562082770.469833,238882520.0,145916059.0,248266
2021-08-01,14202719417.499687,256226837.0,160167062.0,256607
2021-09-01,14024666614.739826,255309350.0,157555104.0,256882
2021-10-01,14165659978.039986,255714420.0,156923616.0,259236
2021-11-01,13904172445.349735,248630420.0,152067680.0,256673
2021-12-01,14062529938.429916,246625408.0,150467545.0,252714
2022-01-01,14412456539.879858,251898388.0,154227930.0,252426
2022-02-01,13250746218.500034,235438630.0,142007832.0,249653
2022-03-01,15695994584.589882,280314489.0,168967395.0,266470
2022-04-01,14609179171.89976,254562730.0,152489004.0,256690
2022-05-01,14956401093.079935,257888000.0,153619367.0,257589
2022-06-01,14650484215.679798,250499963.0,151557080.0,253680
2022-07-01,14067993433.619812,234428626.0,140813991.0,243395
2022-08-01,15825029409.539944,273676256.0,168047334.0,260742
2022-09-01,15268172192.709805,263892615.0,160193966.0,258297
2022-10-01,15854981611.139889,269996140.0,165023707.0,261551
2022-11-01,15675981809.00981,263677624.0,161598929.0,258432
2022-12-01,15297538611.299873,251420641.0,151497788.0,251442
2023-01-01,16594310221.530134,280827661.0,169068899.0,263617
2023-02-01,15394753399.569843,259922326.0,159161069.0,258452
2023-03-01,17668427237.500137,298461892.0,181503538.0,271651
2023-04-01,16091892914.07015,265379484.0,160074705.0,259681
2023-05-01,17280277362.920128,287129748.0,173088160.0,267084
2023-06-01,16029192012.869995,261269038.0,159831609.0,257278
2023-07-01,15725897305.959946,246824756.0,149350862.0,247411
2023-08-01,17348504365.580116,279910801.0,172191912.0,261549
2023-09-01,16361790144.500004,259464154.0,157552161.0,253825
2023-10-01,17484140655.94986,276564708.0,167534255.0,261465
2023-11-01,16663518408.740017,259356081.0,156863590.0,253968
2023-12-01,16152279164.090149,243448023.0,146156238.0,244184
2024-01-01,17783239324.269936,272010590.0,162984803.0,256264
2024-02-01,17169976799.29982,266795878.0,160469214.0,255035
2024-03-01,17501161887.449753,264969435.0,158793817.0,253950
2024-04-01,17396698624.100082,267197354.0,160628916.0,255881
2024-05-01,17580257320.489967,262777836.0,157025310.0,253766
2024-06-01,15770419278.259918,228543520.0,137979972.0,238627
2024-07-01,16423060106.689938,242983356.0,146362442.0,239909
2024-08-01,16347006139.249866,246659583.0,152243897.0,242152
2024-09-01,15626350800.43004,233168618.0,143311522.0,236868
2024-10-01,16310402111.529827,244177082.0,150107391.0,237918
2024-11-01,12874830358.749817,183954822.0,112295024.0,204539
2024-12-01,4199364318.949993,63394189.0,40837668.0,117151
