decile,provider_count,total_paid,avg_paid,median_paid,min_paid,max_paid,total_claims,pct_of_total
D1,59424,31047535.0,522.4746735325795,493.95,0.01,1184.62,24868135.0,0.0028391174312748547
D2,59423,141621807.82,2383.28269895495,2277.52,1184.6200000000001,4002.71,25158223.0,0.012950494885678347
D3,59423,410570336.82,6909.283220638473,6677.87,4002.73,10712.4,36543827.0,0.03754428169676112
D4,59424,1019192506.07,17151.193222771944,16700.845,10712.45,25397.98,63891137.0,0.09319925751941467
D5,59423,2298731544.52,38684.20551840196,37864.57000000001,25398.04,55472.89,113603382.0,0.210205699031118
D6,59423,4925781000.34,82893.50925298285,80968.93000000001,55473.39000000001,117997.09000000001,204862643.0,0.4504341713668343
D7,59424,10566977739.67,177823.4003040859,173033.66500000004,117999.40000000004,258154.20000000007,377088613.0,0.9662889725896262
D8,59423,24701432004.55,415688.06698668865,398047.36000000004,258160.48999999993,644529.9800000001,775661441.0,2.258803031595535
D9,59423,72841961456.69,1225821.0029229424,1126329.3000000003,644534.82,2233412.5700000008,1889259010.0,6.660975903560128
D10,59424,976625587032.2999,16434867.848551089,5794933.359999999,2233466.099999999,7177816544.459994,15260642083.0,89.30675907032362
