month_num,avg_paid,std_paid,avg_claims,month_name,seasonal_index
1,128840021.04857147,21898058.29738749,2291668.714285714,Jan,99.51663346295662
2,127440233.54285717,34652286.1021797,2250442.285714286,Feb,98.43543106172696
3,145220841.22714293,35761827.72620352,2430668.1428571427,Mar,112.16925540656018
4,128597255.06285714,34459845.608279146,2209926.5714285714,Apr,99.32911988277412
5,124478277.86000015,33681457.42065172,2189337.714285714,May,96.14760267094083
6,120651853.30714282,29438124.239683352,2075452.0,Jun,93.19205449110311
7,141310295.78285718,58615958.866733626,2307067.714285714,Jul,109.14873185765057
8,124315749.42285714,25433654.434732426,2253046.0,Aug,96.02206494768657
9,137971108.37571424,34973600.29487204,2430046.285714286,Sep,106.56952792275298
10,129741886.90857145,29134751.05565555,2376974.285714286,Oct,100.21323886158922
11,125076209.03285713,27500842.78500037,2155257.8571428573,Nov,96.60944749897645
12,119946054.15857136,47495502.12401309,1983105.142857143,Dec,92.64689193528224
