count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,HCPCS_CODE
1355155.0,2433.69633652239,12284.551225575951,-1475.45,0.0,0.0,32.21,479.71,1037.11,2228.995,4818.122000000002,7901.931000000003,21631.201599999964,3452141.72,99213
1171895.0,2547.9867108145354,9507.862694582846,-2252.59,0.0,0.0,204.64,692.75,1326.96,2529.24,4968.434000000008,7799.136000000015,19724.71680000007,2554357.86,99214
397404.0,5057.898509124216,20953.01947316934,-24.52,190.82,621.0414999999999,818.79,1243.625,2096.365,3898.495,7507.021,12340.15099999998,61546.61949999962,1536815.35,99284
327169.0,5177.975670494454,25121.512786409156,0.0,49.6,409.454,523.33,787.24,1487.3,3367.22,7460.2320000000045,13549.675999999996,72534.51080000013,1820403.93,99283
290145.0,5226.238597494356,23539.87266167205,0.0,197.96,665.2,937.494,1453.36,2323.84,3934.19,7041.084000000001,11471.957999999997,57098.210399999996,1830686.49,99285
273275.0,348.0393097795261,4254.365627435425,-115.97,0.0,0.0,0.0,5.0,33.99,77.1,200.7720000000001,585.7379999999993,5407.126800000011,478295.16,36415
243031.0,20313.316977587223,70284.38294405778,-113088.78,0.0,759.9449999999999,1576.84,3541.785,8481.6,19909.824999999997,40194.77,62651.149999999994,181113.83500000005,6070177.66,T1015
228291.0,1683.9774787004308,2934.685870913939,-1044.07,0.0,0.0,239.68,425.0,836.65,1833.545,3825.0,5851.610000000001,12746.843000000052,172049.3,D0120
226109.0,554.180512451959,3302.2127851242367,-37.55,0.0,0.0,0.0,34.52,118.04,255.6,742.7420000000001,1939.5899999999838,8610.381199999982,268889.63,85025
187135.0,6497.944235284687,17014.20912547677,0.0,0.0,0.0,1142.9660000000001,2239.64,3699.84,6247.594999999999,11298.816,17632.816999999985,55007.72280000027,1585481.04,90837
